RENDICION DE BSP																								
JAZZ																								
																								
POR FECHA EMISION DESDE:	 1/01/2025	HASTA:	 1/04/2025																					
																								
COMPAÑIA	AA																							
FILE	Nº TICKET	FECHA	TARIFA	OFFLINE	CASH	TARJETA	IMPUESTOS	Resols.	(IVA)	COMISION	SUBTOTAL	NETO	%	OVER	A PAGAR	TOUR CODE	NRO TARJETA	OC						
66249     PES	1403-490116-0	17/1/2025	      73710.00		      92273.75		    18563.75		     8087.84		      92273.75				      92273.75									
66249     PES	1403-490117-1	17/1/2025	      73710.00		      92273.75		    18563.75		     8087.84		      92273.75				      92273.75									
66265     PES	1403-490120-4	17/1/2025	     619622.00		     736480.07		   116858.07		    67988.03		     736480.07				     736480.07									
66265     PES	1403-490121-5	17/1/2025	     619622.00		     736480.07		   116858.07		    67988.03		     736480.07				     736480.07									
66265     PES	1403-490122-6	17/1/2025	     652086.00		     773967.07		   121881.07		    71550.14		     773967.07				     773967.07									
66265     PES	1403-490123-0	17/1/2025	     652086.00		     773967.07		   121881.07		    71550.14		     773967.07				     773967.07									
66265     PES	1403-490124-1	17/1/2025	     652086.00		     773967.07		   121881.07		    71550.14		     773967.07				     773967.07									
66265     PES	1403-490125-2	17/1/2025	     652086.00		     773967.07		   121881.07		    71550.14		     773967.07				     773967.07									
66265     PES	1403-490126-3	17/1/2025	     652086.00		     773967.07		   121881.07		    71550.14		     773967.07				     773967.07									
66265     PES	1403-490127-4	17/1/2025	     652086.00		     773967.07		   121881.07		    71550.14		     773967.07				     773967.07									
66265     PES	1403-490128-5	17/1/2025	     652086.00		     773967.07		   121881.07		    71550.14		     773967.07				     773967.07									
66265     PES	1403-490129-6	17/1/2025	     652086.00		     773967.07		   121881.07		    71550.14		     773967.07				     773967.07									
66265     PES	1403-490130-0	17/1/2025	     652086.00		     773967.07		   121881.07		    71550.14		     773967.07				     773967.07									
66261     PES	1403-490131-1	17/1/2025	     347183.00		     402473.22		    55290.22				     402473.22				     402473.22									
66265     PES	1403-490132-2	17/1/2025	     709031.00		     839722.97		   130691.97		    77798.43		     839722.97				     839722.97									
66265     PES	1403-490133-3	17/1/2025	     709031.00		     839722.97		   130691.97		    77798.43		     839722.97				     839722.97									
66265     PES	1403-490134-4	17/1/2025	     709031.00		     839722.97		   130691.97		    77798.43		     839722.97				     839722.97									
66265     PES	1403-490135-5	17/1/2025	     709031.00		     839722.97		   130691.97		    77798.43		     839722.97				     839722.97									
66265     PES	1403-490136-6	17/1/2025	     709031.00		     839722.97		   130691.97		    77798.43		     839722.97				     839722.97									
66265     PES	1403-490137-0	17/1/2025	     709031.00		     839722.97		   130691.97		    77798.43		     839722.97				     839722.97									
66261     PES	1403-490138-1	17/1/2025	     347183.00		     402473.22		    55290.22				     402473.22				     402473.22									
66265     PES	1403-490139-2	17/1/2025	     709031.00		     839722.97		   130691.97		    77798.43		     839722.97				     839722.97									
																								
POR FECHA EMISION DESDE:	 1/01/2025	HASTA:	 1/04/2025																					
																								
66265     PES	1403-490140-3	17/1/2025	     709031.00		     839722.97		   130691.97		    77798.43		     839722.97				     839722.97									
66265     PES	1403-490141-4	17/1/2025	     709031.00		     839722.97		   130691.97		    77798.43		     839722.97				     839722.97									
66265     PES	1403-490142-5	17/1/2025	     709031.00		     839722.97		   130691.97		    77798.43		     839722.97				     839722.97									
66265     PES	1403-490143-6	17/1/2025	     709031.00		     839722.97		   130691.97		    77798.43		     839722.97				     839722.97									
66265     PES	1403-490144-0	17/1/2025	     709031.00		     839722.97		   130691.97		    77798.43		     839722.97				     839722.97									
66269     PES	1403-490145-1	17/1/2025	     901097.00		    1061506.37		   160409.37		    98872.87		    1061506.37				    1061506.37									
66269     PES	1403-490146-2	17/1/2025	     901097.00		    1061506.37		   160409.37		    98872.87		    1061506.37				    1061506.37									
66288     PES	1403-490147-3	17/1/2025	     556423.00		     663242.57		   106819.57		    61053.51		     663242.57				     663242.57									
66288     PES	1403-490148-4	17/1/2025	     556423.00		     663242.57		   106819.57		    61053.51		     663242.57				     663242.57									
66288     PES	1403-490149-5	17/1/2025	     556423.00		     663242.57		   106819.57		    61053.51		     663242.57				     663242.57									
66288     PES	1403-490150-6	17/1/2025	     556423.00		     663242.57		   106819.57		    61053.51		     663242.57				     663242.57									
66288     PES	1403-490151-0	17/1/2025	     556423.00		     663242.57		   106819.57		    61053.51		     663242.57				     663242.57									
66292     USD	1403-490152-1	18/1/2025	       2253.00		       2593.08		      340.08				       2593.08		 10.00	      225.30	       2367.78	NRZGH/BUE6								
66292     USD	1403-490153-2	18/1/2025	       1848.00		       2159.78		      311.78				       2159.78		 10.00	      184.80	       1974.98	NRZGH/BUE6								
66290     USD	1403-490154-3	18/1/2025			       -727.20	        852.40	      125.20				       -727.20				       -727.20	NRZGH/BUE6	CA+							
66290     USD	1403-490155-4	18/1/2025			       -948.60	       1273.80	      325.20				       -948.60				       -948.60	NRZGH/BUE6	CA+							
66289     USD	1403-490160-2	18/1/2025	        104.00		        240.80		      136.80				        240.80				        240.80									
66289     USD	1403-490161-3	18/1/2025	        104.00		        240.80		      136.80				        240.80				        240.80									
66312     PES	1403-490168-3	20/1/2025	     126327.00			     153031.75	    26704.75		    13861.23								VI000000000000089							
66307     PES	1403-490169-4	20/1/2025	     370951.00		     394802.65		    23851.65				     394802.65				     394802.65									
66320     PES	1403-490170-5	20/1/2025	     425116.00		     519038.02		    93922.02		    46645.85		     519038.02				     519038.02									
66320     PES	1403-490171-6	20/1/2025	     425116.00		     519038.02		    93922.02		    46645.85		     519038.02				     519038.02									
66320     PES	1403-490172-0	20/1/2025	     425116.00		     519038.02		    93922.02		    46645.85		     519038.02				     519038.02									
66320     PES	1403-490173-1	20/1/2025	     425116.00		     519038.02		    93922.02		    46645.85		     519038.02				     519038.02									
66343     USD	1403-490176-4	20/1/2025	        744.00		        885.40		      141.40				        885.40		  5.00	       37.20	        848.20	NRZT/BUE74								
66343     USD	1403-490177-5	20/1/2025	        744.00		        885.40		      141.40				        885.40		  5.00	       37.20	        848.20	NRZT/BUE74								
66336     PES	1403-490180-1	21/1/2025	     459759.00		     491710.20		    31951.20				     491710.20				     491710.20									
66336     PES	1403-490181-2	21/1/2025	     459759.00		     491710.20		    31951.20				     491710.20				     491710.20									
66336     PES	1403-490182-3	21/1/2025	     459759.00		     491710.20		    31951.20				     491710.20				     491710.20									
66336     PES	1403-490183-4	21/1/2025	     459759.00		     491710.20		    31951.20				     491710.20				     491710.20									
66336     PES	1403-490184-5	21/1/2025	     459759.00		     491710.20		    31951.20				     491710.20				     491710.20									
66336     PES	1403-490185-6	21/1/2025	     459759.00		     491710.20		    31951.20				     491710.20				     491710.20									
66336     PES	1403-490186-0	21/1/2025	     459759.00		     491710.20		    31951.20				     491710.20				     491710.20									
66336     PES	1403-490187-1	21/1/2025	     459759.00		     491710.20		    31951.20				     491710.20				     491710.20									
66330     USD	1403-490188-2	21/1/2025	        339.00		        454.10		      115.10				        454.10		  5.00	       16.95	        437.15	NRZT/BUE74								
66331     PES	1403-490189-3	21/1/2025	    1206446.00		    1365895.67		   159449.67		    58592.80		    1365895.67				    1365895.67									
66331     PES	1403-490191-5	21/1/2025	    1206446.00		    1365895.67		   159449.67		    58592.80		    1365895.67				    1365895.67									
66335     PES	1403-490193-0	21/1/2025	     227677.00		     243887.50		    16210.50				     243887.50				     243887.50									
66335     PES	1403-490194-1	21/1/2025	     227677.00		     243887.50		    16210.50				     243887.50				     243887.50									
66345     PES	1403-490199-6	21/1/2025	     240294.00		     291791.20		    51497.20		    26366.26		     291791.20				     291791.20									
																								
POR FECHA EMISION DESDE:	 1/01/2025	HASTA:	 1/04/2025																					
																								
66344     USD	1403-490200-0	21/1/2025	        737.00		        967.27		      230.27				        967.27		  5.00	       36.85	        930.42	NRZT/BUE74								
66344     USD	1403-490201-1	21/1/2025	        737.00		        967.27		      230.27				        967.27		  5.00	       36.85	        930.42	NRZT/BUE74								
66344     USD	1403-490202-2	21/1/2025	        737.00		        967.27		      230.27				        967.27		  5.00	       36.85	        930.42	NRZT/BUE74								
66375     PES	1403-490204-4	21/1/2025	     200335.00			     238490.75	    38155.75		    21981.76								VI000000000000089							
66350     PES	1403-490205-5	21/1/2025	     391650.00		     438536.20		    46886.20				     438536.20				     438536.20									
66350     PES	1403-490206-6	21/1/2025	     391650.00		     438536.20		    46886.20				     438536.20				     438536.20									
66084     USD	1403-516510-4	14/1/2025	        840.00		       1081.18		      241.18				       1081.18		  5.00	       42.00	       1039.18	NRZT/BUE74								
66084     USD	1403-516511-5	14/1/2025	        816.00		       1055.48		      239.48				       1055.48		  5.00	       40.80	       1014.68	NRZT/BUE74								
66084     USD	1403-516512-6	14/1/2025	        816.00		       1055.48		      239.48				       1055.48		  5.00	       40.80	       1014.68	NRZT/BUE74								
66084     USD	1403-516513-0	14/1/2025	        816.00		       1055.48		      239.48				       1055.48		  5.00	       40.80	       1014.68	NRZT/BUE74								
66084     USD	1403-516514-1	14/1/2025	        816.00		       1055.48		      239.48				       1055.48		  5.00	       40.80	       1014.68	NRZT/BUE74								
66084     USD	1403-516515-2	14/1/2025	        816.00		       1055.48		      239.48				       1055.48		  5.00	       40.80	       1014.68	NRZT/BUE74								
66084     USD	1403-516516-3	14/1/2025	        612.00		        837.18		      225.18				        837.18		  5.00	       30.60	        806.58	NRZT/BUE74								
66084     USD	1403-516517-4	14/1/2025	         82.00		         97.70		       15.70				         97.70				         97.70	NRZT/BUE74								
66084     USD	1403-516518-5	14/1/2025	        816.00		       1055.48		      239.48				       1055.48		  5.00	       40.80	       1014.68	NRZT/BUE74								
66084     USD	1403-516519-6	14/1/2025	        816.00		       1055.48		      239.48				       1055.48		  5.00	       40.80	       1014.68	NRZT/BUE74								
66084     USD	1403-516520-0	14/1/2025	        612.00		        837.18		      225.18				        837.18		  5.00	       30.60	        806.58	NRZT/BUE74								
66084     USD	1403-516521-1	14/1/2025	        612.00		        837.18		      225.18				        837.18		  5.00	       30.60	        806.58	NRZT/BUE74								
66085     USD	1403-516532-5	14/1/2025	        551.00		        765.98		      214.98				        765.98				        765.98	CORG132746								
66085     USD	1403-516533-6	14/1/2025	        735.00		        962.88		      227.88				        962.88				        962.88	CORG132746								
66085     USD	1403-516534-0	14/1/2025	        735.00		        962.88		      227.88				        962.88				        962.88	CORG132746								
66085     USD	1403-516535-1	14/1/2025	        735.00		        962.88		      227.88				        962.88				        962.88	CORG132746								
66085     USD	1403-516536-2	14/1/2025	        735.00		        962.88		      227.88				        962.88				        962.88	CORG132746								
66085     USD	1403-516537-3	14/1/2025	        735.00		        962.88		      227.88				        962.88				        962.88	CORG132746								
66085     USD	1403-516538-4	14/1/2025	        735.00		        962.88		      227.88				        962.88				        962.88	CORG132746								
66085     USD	1403-516539-5	14/1/2025	        735.00		        962.88		      227.88				        962.88				        962.88	CORG132746								
66085     USD	1403-516540-6	14/1/2025	         77.00		         92.40		       15.40				         92.40				         92.40	CORG132746								
66085     USD	1403-516541-0	14/1/2025	        551.00		        765.98		      214.98				        765.98				        765.98	CORG132746								
66024     USD	1403-516545-4	14/1/2025	        350.00		        460.20		      110.20				        460.20				        460.20									
66024     USD	1403-516546-5	14/1/2025	        350.00		        460.20		      110.20				        460.20				        460.20									
66024     USD	1403-516547-6	14/1/2025	        350.00		        460.20		      110.20				        460.20				        460.20									
66024     USD	1403-516548-0	14/1/2025	        350.00		        460.20		      110.20				        460.20				        460.20									
60507     PES	1403-516549-1	14/1/2025	     370825.00			     598851.30	   116778.80	   111247.50								*F*ARVA127	VI000000000000076							
60507     PES	1403-516550-2	14/1/2025	     370825.00			     598851.30	   116778.80	   111247.50								*F*ARVA127	VI000000000000076							
60507     PES	1403-516551-3	14/1/2025	     278649.00		          0.00	     472570.10	   110326.40	    83594.70			          0.00				          0.00	*F*ARVA127	VI000000000000076							
60507     PES	1403-516552-4	14/1/2025	     278649.00		          0.00	     472570.10	   110326.40	    83594.70			          0.00				          0.00	*F*ARVA127	VI000000000000076							
66087     PES	1403-516556-1	14/1/2025	      61437.00		      78101.75		    16664.75		     6741.18		      78101.75				      78101.75									
64941     PES	1403-516557-2	14/1/2025			      18000.00		    18000.00				      18000.00				      18000.00		VI+							
66137     PES	1403-516560-5	15/1/2025	      67085.00		      84623.55		    17538.55		     7360.90		      84623.55				      84623.55									
66137     PES	1403-516561-6	15/1/2025	      61437.00		      78101.75		    16664.75		     6741.18		      78101.75				      78101.75									
																								
POR FECHA EMISION DESDE:	 1/01/2025	HASTA:	 1/04/2025																					
																								
66184     USD	1403-516578-2	16/1/2025	        551.00		        765.98		      214.98				        765.98				        765.98	CORG132746								
66184     USD	1403-516579-3	16/1/2025	        735.00		        962.88		      227.88				        962.88				        962.88	CORG132746								
66184     USD	1403-516580-4	16/1/2025	        735.00		        962.88		      227.88				        962.88				        962.88	CORG132746								
66184     USD	1403-516581-5	16/1/2025	        735.00		        962.88		      227.88				        962.88				        962.88	CORG132746								
66184     USD	1403-516582-6	16/1/2025	        735.00		        962.88		      227.88				        962.88				        962.88	CORG132746								
66184     USD	1403-516583-0	16/1/2025	        735.00		        962.88		      227.88				        962.88				        962.88	CORG132746								
66183     PES	1403-516593-3	16/1/2025	VOID																					
66197     USD	1403-516600-3	16/1/2025	        884.00		       1128.28		      244.28				       1128.28		  5.00	       44.20	       1084.08	NRZT/BUE74								
66197     USD	1403-516601-4	16/1/2025	        884.00		       1128.28		      244.28				       1128.28		  5.00	       44.20	       1084.08	NRZT/BUE74								
66197     USD	1403-516602-5	16/1/2025	        884.00		       1128.28		      244.28				       1128.28		  5.00	       44.20	       1084.08	NRZT/BUE74								
66197     USD	1403-516603-6	16/1/2025	        884.00		       1128.28		      244.28				       1128.28		  5.00	       44.20	       1084.08	NRZT/BUE74								
66197     USD	1403-516604-0	16/1/2025	        884.00		       1128.28		      244.28				       1128.28		  5.00	       44.20	       1084.08	NRZT/BUE74								
66197     USD	1403-516605-1	16/1/2025	        884.00		       1128.28		      244.28				       1128.28		  5.00	       44.20	       1084.08	NRZT/BUE74								
66197     USD	1403-516606-2	16/1/2025	        663.00		        891.78		      228.78				        891.78		  5.00	       33.15	        858.63	NRZT/BUE74								
62884     USD	1403-541869-2	16/1/2025	        450.00		        567.30		      117.30				        567.30				        567.30									
62884     USD	1403-541870-3	16/1/2025	        450.00		        567.30		      117.30				        567.30				        567.30									
62884     USD	1403-541871-4	16/1/2025	         45.00		         48.20		        3.20				         48.20				         48.20									
66183     PES	1403-541872-5	16/1/2025	VOID																					
66190     USD	1403-541873-6	16/1/2025	        350.00		        460.30		      110.30				        460.30				        460.30									
66190     USD	1403-541874-0	16/1/2025	        350.00		        460.30		      110.30				        460.30				        460.30									
66191     USD	1403-541875-1	16/1/2025	        350.00		        460.30		      110.30				        460.30				        460.30									
66191     USD	1403-541876-2	16/1/2025	        350.00		        460.30		      110.30				        460.30				        460.30									
66183     PES	1403-541877-3	16/1/2025	     239048.00		      69649.35	     220703.05	    51304.40		    26229.55		      69649.35				      69649.35		TN589562808662375							
66183     PES	1403-541878-4	16/1/2025	     229352.00		      58453.15	     220703.05	    49804.20		    25165.64		      58453.15				      58453.15		TN589562808662375							
66245     USD	1403-541893-5	16/1/2025	       1006.00		       1175.70		      169.70				       1175.70				       1175.70									
66245     USD	1403-541895-0	16/1/2025	       1006.00		       1175.70		      169.70				       1175.70				       1175.70									
66245     USD	1403-541897-2	16/1/2025	       1006.00		       1175.70		      169.70				       1175.70				       1175.70									
66245     USD	1403-541899-4	16/1/2025	       1006.00		       1175.70		      169.70				       1175.70				       1175.70									
66245     USD	1403-541901-6	16/1/2025	       1006.00		       1175.70		      169.70				       1175.70				       1175.70									
66245     USD	1403-541903-1	16/1/2025	       1006.00		       1175.70		      169.70				       1175.70				       1175.70									
66220     PES	1403-541910-1	17/1/2025	    1212190.00		    1381004.17		   168814.17		    67698.80		    1381004.17				    1381004.17									
66220     PES	1403-541912-3	17/1/2025	    1212190.00		    1381004.17		   168814.17		    67698.80		    1381004.17				    1381004.17									
66253     USD	1403-541920-4	17/1/2025	        209.00		        250.00		       41.00				        250.00				        250.00									
66244     USD	1403-541932-2	17/1/2025	        850.00		       1059.71		      209.71				       1059.71		  5.00	       42.50	       1017.21	NRZT/BUE74								
66244     USD	1403-541933-3	17/1/2025	        850.00		       1059.71		      209.71				       1059.71		  5.00	       42.50	       1017.21	NRZT/BUE74								
66277     PES	1403-541934-4	17/1/2025	     108354.00			     139436.74	    31082.74		    11889.14								VI000000000000076							
66277     PES	1403-541935-5	17/1/2025	     108354.00			     139436.74	    31082.74		    11889.14								VI000000000000076							
66300     PES	1403-541940-3	18/1/2025	      53048.00		      68414.75		    15366.75		     5820.70		      68414.75				      68414.75									
66356     PES	1403-541947-3	21/1/2025	     209668.00			     256426.63	    46758.63		    23005.83								VI000000000000310							
66356     PES	1403-541948-4	21/1/2025	     209668.00			     256426.63	    46758.63		    23005.83								VI000000000000310							
																								
POR FECHA EMISION DESDE:	 1/01/2025	HASTA:	 1/04/2025																					
																								
66381     PES	1403-541953-2	21/1/2025	     115145.00		     140119.65		    24974.65		    12634.28		     140119.65				     140119.65									
66381     PES	1403-541954-3	21/1/2025	     115145.00		     140119.65		    24974.65		    12634.28		     140119.65				     140119.65									
66381     PES	1403-541955-4	21/1/2025	     115145.00		     140119.65		    24974.65		    12634.28		     140119.65				     140119.65									
66381     PES	1403-541956-5	21/1/2025	     115145.00		     140119.65		    24974.65		    12634.28		     140119.65				     140119.65									
66359     USD	1403-541961-3	21/1/2025	       2729.00		       3742.80		     1013.80				       3742.80		 10.00	      272.90	       3469.90	NRZGH/BUE6								
66359     USD	1403-541962-4	21/1/2025	       2729.00		       3742.80		     1013.80				       3742.80		 10.00	      272.90	       3469.90	NRZGH/BUE6								
66352     USD	1403-576768-6	21/1/2025	        184.00		        198.90		       14.90				        198.90				        198.90									
66368     PES	1403-576769-0	21/1/2025	     504208.00		     610627.52		   106419.52		    55324.23		     610627.52				     610627.52									
66368     PES	1403-576771-2	21/1/2025	     504208.00		     610627.52		   106419.52		    55324.23		     610627.52				     610627.52									
66371     USD	1403-576773-4	21/1/2025	        204.00		        265.06		       61.06				        265.06				        265.06									
66371     USD	1403-576774-5	21/1/2025	        204.00		        265.06		       61.06				        265.06				        265.06									
66371     USD	1403-576775-6	21/1/2025	        255.00		        355.64		      100.64				        355.64				        355.64									
66392     PES	1403-576781-5	22/1/2025	    1288332.00		    1860308.00		   185476.40	   386499.60			    1860308.00		  5.00	    64416.60	    1795891.40	NRZT/BUE74								
66392     PES	1403-576782-6	22/1/2025	    1288332.00		    1860308.00		   185476.40	   386499.60			    1860308.00		  5.00	    64416.60	    1795891.40	NRZT/BUE74								
66392     PES	1403-576783-0	22/1/2025	    1288332.00		    1860308.00		   185476.40	   386499.60			    1860308.00		  5.00	    64416.60	    1795891.40	NRZT/BUE74								
66392     PES	1403-576784-1	22/1/2025	    1288332.00		    1860308.00		   185476.40	   386499.60			    1860308.00		  5.00	    64416.60	    1795891.40	NRZT/BUE74								
66392     PES	1403-576785-2	22/1/2025	    1288332.00		    1860308.00		   185476.40	   386499.60			    1860308.00		  5.00	    64416.60	    1795891.40	NRZT/BUE74								
66392     PES	1403-576786-3	22/1/2025														NRZT/BUE74								
66392     PES	1403-576787-4	22/1/2025	    1288332.00		    1860308.00		   185476.40	   386499.60			    1860308.00		  5.00	    64416.60	    1795891.40	NRZT/BUE74								
66433     PES	1403-576794-4	22/1/2025																						
66433     PES	1403-576795-5	22/1/2025																						
66433     PES	1403-576796-6	22/1/2025																						
66433     PES	1403-576797-0	22/1/2025																						
66433     PES	1403-576798-1	22/1/2025																						
66433     PES	1403-576800-3	22/1/2025																						
66433     PES	1403-576802-5	22/1/2025																						
66433     PES	1403-576804-0	22/1/2025																						
66433     PES	1403-576806-2	22/1/2025																						
66433     PES	1403-576808-4	22/1/2025																						
66405     USD	1403-576810-6	22/1/2025	        377.00		        479.80		      102.80				        479.80		  5.00	       18.85	        460.95	NRZT/BUE74								
66406     USD	1403-576811-0	22/1/2025	       1848.00		       2159.78		      311.78				       2159.78		 10.00	      184.80	       1974.98	NRZGH/BUE6								
66406     USD	1403-576812-1	22/1/2025	       1848.00		       2159.78		      311.78				       2159.78		 10.00	      184.80	       1974.98	NRZGH/BUE6								
66425     USD	1403-576813-2	22/1/2025	        737.00		        967.27		      230.27				        967.27		  5.00	       36.85	        930.42	NRZT/BUE74								
66425     USD	1403-576814-3	22/1/2025	        737.00		        967.27		      230.27				        967.27		  5.00	       36.85	        930.42	NRZT/BUE74								
66425     USD	1403-576815-4	22/1/2025	        553.00		        770.37		      217.37				        770.37		  5.00	       27.65	        742.72	NRZT/BUE74								
66425     USD	1403-576816-5	22/1/2025	        553.00		        770.37		      217.37				        770.37		  5.00	       27.65	        742.72	NRZT/BUE74								
66432     USD	1403-576817-6	22/1/2025			         75.00		       75.00				         75.00				         75.00	NRZT/BUE74	CA+							
66432     USD	1403-576818-0	22/1/2025			         56.00		       56.00				         56.00				         56.00	NRZT/BUE74	CA+							
66432     USD	1403-576819-1	22/1/2025			         75.00		       75.00				         75.00				         75.00	NRZT/BUE74	CA+							
66432     USD	1403-576820-2	22/1/2025			         56.00		       56.00				         56.00				         56.00	NRZT/BUE74	CA+							
																								
POR FECHA EMISION DESDE:	 1/01/2025	HASTA:	 1/04/2025																					
																								
66432     USD	1403-576821-3	22/1/2025			         50.00		       50.00				         50.00				         50.00	NRZT/BUE74	CA+							
66392     PES	1403-576822-4	22/1/2025	    1288332.00		    1860308.00		   185476.40	   386499.60			    1860308.00		  5.00	    64416.60	    1795891.40	NRNRZT/BUE								
66466     PES	1403-576827-2	23/1/2025	     703856.00		     780468.07		    76612.07		    12949.40		     780468.07				     780468.07									
66466     PES	1403-576828-3	23/1/2025	     703856.00		     780468.07		    76612.07		    12949.40		     780468.07				     780468.07									
66452     USD	1403-576829-4	23/1/2025														NRZGH/BUE6								
66454     USD	1403-576830-5	23/1/2025	       1733.00		       2004.51		      271.51				       2004.51		 10.00	      173.30	       1831.21	NRZGH/BUE6								
66455     USD	1403-576831-6	23/1/2025	        618.00		        747.20		      129.20				        747.20		  5.00	       30.90	        716.30	NRZT/BUE74								
66455     USD	1403-576832-0	23/1/2025	        618.00		        747.20		      129.20				        747.20		  5.00	       30.90	        716.30	NRZT/BUE74								
66455     USD	1403-576833-1	23/1/2025	        618.00		        747.20		      129.20				        747.20		  5.00	       30.90	        716.30	NRZT/BUE74								
66457     USD	1403-576834-2	23/1/2025	        816.00		       1055.48		      239.48				       1055.48		  5.00	       40.80	       1014.68	NRZT/BUE74								
66457     USD	1403-576835-3	23/1/2025	        816.00		       1055.48		      239.48				       1055.48		  5.00	       40.80	       1014.68	NRZT/BUE74								
66457     USD	1403-576836-4	23/1/2025	        816.00		       1055.48		      239.48				       1055.48		  5.00	       40.80	       1014.68	NRZT/BUE74								
66457     USD	1403-576837-5	23/1/2025	        816.00		       1055.48		      239.48				       1055.48		  5.00	       40.80	       1014.68	NRZT/BUE74								
66457     USD	1403-576838-6	23/1/2025	        816.00		       1055.48		      239.48				       1055.48		  5.00	       40.80	       1014.68	NRZT/BUE74								
66457     USD	1403-576839-0	23/1/2025	        816.00		       1055.48		      239.48				       1055.48		  5.00	       40.80	       1014.68	NRZT/BUE74								
66457     USD	1403-576840-1	23/1/2025	        816.00		       1055.48		      239.48				       1055.48		  5.00	       40.80	       1014.68	NRZT/BUE74								
66457     USD	1403-576841-2	23/1/2025	        816.00		       1055.48		      239.48				       1055.48		  5.00	       40.80	       1014.68	NRZT/BUE74								
66457     USD	1403-576842-3	23/1/2025	        816.00		       1055.48		      239.48				       1055.48		  5.00	       40.80	       1014.68	NRZT/BUE74								
66457     USD	1403-576843-4	23/1/2025	        816.00		       1055.48		      239.48				       1055.48		  5.00	       40.80	       1014.68	NRZT/BUE74								
66457     USD	1403-576844-5	23/1/2025	        816.00		       1055.48		      239.48				       1055.48		  5.00	       40.80	       1014.68	NRZT/BUE74								
66519     PES	1403-576877-3	24/1/2025	     378417.00		     458444.14		    80027.14		    41521.81		     458444.14				     458444.14									
66519     PES	1403-576878-4	24/1/2025	     378417.00		     458444.15		    80027.15		    41521.81		     458444.15				     458444.15									
66519     PES	1403-576879-5	24/1/2025	     378417.00		     458444.15		    80027.15		    41521.81		     458444.15				     458444.15									
66519     PES	1403-576880-6	24/1/2025	     378417.00		     458444.15		    80027.15		    41521.81		     458444.15				     458444.15									
66592     PES	1403-576887-6	24/1/2025			      18000.00		    18000.00				      18000.00				      18000.00									
66592     PES	1403-576888-0	24/1/2025			      18000.00		    18000.00				      18000.00				      18000.00									
66592     PES	1403-576889-1	24/1/2025			      18000.00		    18000.00				      18000.00				      18000.00									
66592     PES	1403-576890-2	24/1/2025			      18000.00		    18000.00				      18000.00				      18000.00									
66516     USD	1403-576892-4	24/1/2025	        790.00		        995.51		      205.51				        995.51		 10.00	       79.00	        916.51	NRZGH/BUE6								
66516     USD	1403-576893-5	24/1/2025	        790.00		        995.51		      205.51				        995.51		 10.00	       79.00	        916.51	NRZGH/BUE6								
66516     USD	1403-576894-6	24/1/2025	        790.00		        995.51		      205.51				        995.51		 10.00	       79.00	        916.51	NRZGH/BUE6								
66516     USD	1403-576895-0	24/1/2025	        593.00		        784.71		      191.71				        784.71		 10.00	       59.30	        725.41	NRZGH/BUE6								
66516     USD	1403-576896-1	24/1/2025	        790.00		        995.51		      205.51				        995.51		 10.00	       79.00	        916.51	NRZGH/BUE6								
66521     PES	1403-576898-3	24/1/2025	     528660.00		     820437.10		   133179.10	   158598.00			     820437.10				     820437.10									
66521     PES	1403-576899-4	24/1/2025	     528660.00		     820437.10		   133179.10	   158598.00			     820437.10				     820437.10									
66568     PES	1403-576902-0	24/1/2025	     505751.00			     598321.10	    92570.10		    55493.53								VI000000000000151							
66531     USD	1403-576905-3	24/1/2025	       1106.00		       1333.61		      227.61				       1333.61		 10.00	      110.60	       1223.01	NRZGH/BUE6								
66531     USD	1403-576906-4	24/1/2025	        829.00		       1037.21		      208.21				       1037.21		 10.00	       82.90	        954.31	NRZGH/BUE6								
66531     USD	1403-576907-5	24/1/2025	        829.00		       1037.21		      208.21				       1037.21		 10.00	       82.90	        954.31	NRZGH/BUE6								
66531     USD	1403-576908-6	24/1/2025	        829.00		       1037.21		      208.21				       1037.21		 10.00	       82.90	        954.31	NRZGH/BUE6								
																								
POR FECHA EMISION DESDE:	 1/01/2025	HASTA:	 1/04/2025																					
																								
66531     USD	1403-576909-0	24/1/2025	       1106.00		       1333.61		      227.61				       1333.61		 10.00	      110.60	       1223.01	NRZGH/BUE6								
66573     PES	1403-576921-5	25/1/2025	     305523.00		     367112.70		    61589.70		    33523.51		     367112.70				     367112.70									
66606     PES	1403-576922-6	27/1/2025	     247735.00		     300643.60		    52908.60		    27182.73		     300643.60				     300643.60									
66606     PES	1403-576923-0	27/1/2025	     247735.00		     300643.60		    52908.60		    27182.73		     300643.60				     300643.60									
66606     PES	1403-576924-1	27/1/2025	     247735.00		     300643.60		    52908.60		    27182.73		     300643.60				     300643.60									
66606     PES	1403-576925-2	27/1/2025	     247735.00		     300643.60		    52908.60		    27182.73		     300643.60				     300643.60									
66606     PES	1403-576926-3	27/1/2025	     247735.00		     300643.60		    52908.60		    27182.73		     300643.60				     300643.60									
66606     PES	1403-576927-4	27/1/2025	     247735.00		     300643.60		    52908.60		    27182.73		     300643.60				     300643.60									
66606     PES	1403-576928-5	27/1/2025	     222962.00		     272037.50		    49075.50		    24464.51		     272037.50				     272037.50									
66606     PES	1403-576929-6	27/1/2025	     222962.00		     272037.50		    49075.50		    24464.51		     272037.50				     272037.50									
