RENDICION DE BSP																								
JAZZ																								
																								
POR FECHA EMISION DESDE:	 1/01/2025	HASTA:	 1/04/2025																					
																								
COMPAÑIA	AA																							
FILE	Nº TICKET	FECHA	TARIFA	OFFLINE	CASH	TARJETA	IMPUESTOS	Resols.	(IVA)	COMISION	SUBTOTAL	NETO	%	OVER	A PAGAR	TOUR CODE	NRO TARJETA	OC						
FILE	Nº TICKET	FECHA	TARIFA	OFFLINE	CASH	TARJETA	IMPUESTOS	Resols.	(IVA)	COMISION	SUBTOTAL	NETO	%	OVER	A PAGAR	TOUR CODE	NRO TARJETA	OC						
66697     PES	1403-576970-5	29/1/2025	     471870.00		     626963.10		    13532.10	   141561.00			     626963.10				     626963.10									
66697     PES	1403-576971-6	29/1/2025	     471870.00		     626963.10		    13532.10	   141561.00			     626963.10				     626963.10									
66697     PES	1403-576972-0	29/1/2025	     471870.00		     626963.10		    13532.10	   141561.00			     626963.10				     626963.10									
66816     PES	1403-649290-1	31/1/2025	     472752.00		     628285.00		    13707.40	   141825.60			     628285.00				     628285.00									
	SUBTOTAL:		    1888362.00		    2509174.30		    54303.70	   566508.60			    2509174.30				    2509174.30									
	# TICKETS:	4																						
																								
COMPAÑIA	AF																							
FILE	Nº TICKET	FECHA	TARIFA	OFFLINE	CASH	TARJETA	IMPUESTOS	Resols.	(IVA)	COMISION	SUBTOTAL	NETO	%	OVER	A PAGAR	TOUR CODE	NRO TARJETA	OC						
65870     USD	1403-428738-5	9/1/2025	         88.00		         94.20		        6.20				         94.20				         94.20									
66011     USD	1403-474629-4	11/1/2025	        291.00		        352.50		       61.50				        352.50				        352.50									
66341     USD	1403-490179-0	21/1/2025	        508.00		        608.00		      100.00				        608.00				        608.00									
66254     USD	1403-541917-1	17/1/2025	       1008.00		       1538.30		      530.30				       1538.30		  5.00	       50.40	       1487.90	EUR5								
66254     USD	1403-541918-2	17/1/2025	       1008.00		       1538.30		      530.30				       1538.30		  5.00	       50.40	       1487.90	EUR5								
66441     USD	1403-580125-3	22/1/2025	         89.00		        150.50		       61.50				        150.50				        150.50									
67022     USD	1403-649381-1	6/2/2025	        206.00		        268.50		       62.50				        268.50				        268.50									
